"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_KRAS_SIGNALING_DN",0.00260837696028983,0.109551832332173,0.431707695803346,0.497012912930213,1.33930950000355,196,"Ccdc106;Pax3;Tcf7l1;Sox10;Insl5;Scn10a;Tfap2b;Epha5;Ifi44l;Klhdc8a;Ryr2;Il5;Cntfr;Itih3;Sprr3;Ugt2b1;Nos1;Pcdhb1;Pax4;Kcnq2;Hc;Macroh2a2;Sncb;Clps;Arhgdig;Pde6b;Scgb1a1;Clstn3;Arpp21;Adra2c;Col2a1;P2rx6;Cacng1;Capn9;Gp2;Sptbn2;Dlk2;Slc25a23;Slc30a3;Fgfr3;Efhd1;Nrip2;Krt4;Edar;Fgf22;Abcg4;Ambn;P2ry4;Myot;Pkp1;Oxt;Actc1;Cpb1;Smpx;Serpinb2;Bard1;Tenm2;Ybx2;Npy4r;Zfp112;Nudt11;Cldn16;Ccr8;Krt5;Ngb;Dtnb;Myh7;Grid2;Ypel1;Serpina10;Dcc;Sidt1;Ckm;Calm4;Celsr2;Gdnf;Zc2hc1c;Gpr3;Shox2;Slc6a3;Fgf16;Pdcd1;Slc29a3;Coq8a;Lgals7;Cd40lg;Sphk2;Slc5a5;Edn2;Chst2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00553995779555212,0.116339113706594,0.407017918923954,0.479942625579013,1.29168370076431,201,"Magee1;Cdh6;Col11a1;Spock1;Slit3;Cxcl12;Scg2;Matn2;Tnc;Dcn;Ecm2;Igfbp3;Mfap5;Lama1;Acta2;Lum;Fbn1;Dpysl3;Plod2;Fbln2;Mmp1b;Fstl1;Pfn2;Vegfc;Cdh2;Tnfrsf11b;Gpx7;Col4a2;Cthrc1;Cap2;Sfrp4;Col5a3;Bdnf;Gpc1;Col4a1;Matn3;Gas1;Rgs4;Col3a1;Col5a1;Eln;Abi3bp;Ntm;Loxl1;Col5a2;Col16a1;Mgp;Oxtr;Tpm2;Cdh11;Itga2;Pthlh;Nnmt"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.033335315424363,0.466694415941082,0.321775918075361,-0.372821789801813,-1.32442178866001,46,"Nqo1;Mbp;Ndufb4;Ipcef1;Glrx2;Glrx;Gclm;Ndufa6;Gsr;Prdx6;Prdx1;Txnrd1;Atox1;Ptpa;Scaf4;Lamtor5;Srxn1;Lsp1;Ercc2;Mgst1;Sbno2;Oxsr1"
"HALLMARK_MYOGENESIS",0.047952047952048,0.503496503496504,0.204294756516886,0.44405151526761,1.19602883222767,199,"Tnnt2;Reep1;Sh3bgr;Sspn;Ckmt2;Kcnh2;Igfbp3;Klf5;Gnao1;Csrp3;Nos1;Sod3;Tead4;Clu;Apod;Pcx;Dmd;Camk2b;Kcnh1;Myf6;Fxyd1;Pvalb;Col4a2;Pfkm;Cacng1;Pkia;Hspb8;Scd2;Col3a1;Myh1;Dtna;Ncam1;Bdkrb2;Itga7;Schip1;Dapk2;Tpd52l1;Myl6b;Tpm2;Cacna1h;Sorbs1;Mapk12;Spdef;Myl3;Myog;Actc1;Cdh13;Dmpk;Myh3;Chrna1;Myh11;Aplnr;Cryab;Fhl1;Myh7;Ptgis;Pgam2;Casq2;Tnnt3;Ckm;Sln;Casq1;Fst;Sh2b1;Myoz1;Mylpf;Ckb;Slc6a8;Aebp1;Ache;Ldb3;Ocel1;Agrn"
"HALLMARK_APICAL_JUNCTION",0.0759240759240759,0.637762237762238,0.159646701919906,0.436263541010395,1.17560709144483,196,"Pard6g;Cdh6;Nlgn3;Dsc3;Adra1b;Parva;Col9a1;Kcnh2;Dsc1;Vwf;Calb2;Fbn1;Ppp2r2c;Irs1;Cdh8;Pcdh1;Cldn11;Tro;Cdh3;Gnai1;Nfasc;Tnfrsf11b;Pik3r3;Cx3cl1;Negr1;Cdh15;Slc30a3;Cadm2;Adamts5;Col16a1;Flnc;Cntn1;Amh;Cdh11;Grb7;Itga2;Cadm3;Actc1;Cldn14;Cldn19;Nrxn2;Rhof;Madcam1;Krt31"
"HALLMARK_PANCREAS_BETA_CELLS",0.128177966101695,0.803542301399078,0.123257226381337,0.50766225517634,1.25228594796646,40,"Pcsk1;Pklr;Ins2;Nkx6-1;Pax4;Iapp;Nkx2-2;Abcc8;Dcx;Insm1;Syt13;Pcsk2;Chga;Sst;Pak3;Gcg;Gck;Scgn;Neurod1"
"HALLMARK_APICAL_SURFACE",0.133923716899846,0.803542301399078,0.249246554383295,-0.340614333738258,-1.20044963868756,43,"Gstm5;Afap1l2;Shroom2;Slc34a3;Srpx;Pkhd1;Atp6v0a4;Ncoa6;Lypd3;Pcsk9;Cd160;Il2rg;Slc2a4;Akap7;App;Crybg1;Lyn"
"HALLMARK_SPERMATOGENESIS",0.178068410462777,0.934859154929577,0.0985499803531691,0.430061212046684,1.14254872925165,132,"Clgn;Kif2c;Gpr182;Mlf1;Mtnr1a;Tssk2;Znrf4;Il13ra2;Gapdhs;Nos1;Papolb;Camk4;Pcsk1n;Tnp1;Elovl3;Ddx25;Adcyap1;Snap91;Dnajb8;Sycp1;Tktl1;Scg5;Scg3;Nefh;Oaz3;Hba-x;Clvs1;Cnih2;Prm2;Septin4;Map7;Tcp11;H1f6;Mep1b;Ybx2;Grm8;Ttk;Pgk2;Dcc;Pacrg;Ccnb2;Zc2hc1c;Htr5a;Tulp2;Cdkn3;Cftr;Nek2;Topbp1;Tnp2;Dmrt1;Acrv1;Crisp2;Actl7b"
"HALLMARK_PEROXISOME",0.285858585858586,1,0.0727141077934447,0.415984893145294,1.09722830884238,102,"Ttr;Sult2b1;Crabp2;Crabp1;Ugt2b1;Dio1;Nr1i2;Abcb1a;Cacna1b;Abcc8;Scgb1a1;Hao2;Slc27a2;Esr2;Top2a;Fabp6"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.354812836128752,1,0.203508959461977,-0.234531626784287,-1.00618355841333,110,"Kif5b;Vegfa;Cnot6;Mthfd2;Paip1;Dctn1;Eif4e;Hyou1;Ddit4;Ero1a;Nfyb;Sdad1;Yif1a;Eif2s1;Serp1;Parn;Igfbp1;Asns;Atp6v0d1;Eif4g1;Eif4a3;Dkc1;Cnot2;Xpot;Slc30a5;Ywhaz;Dnajb9;Ccl2;Spcs3;Exosc10;Spcs1;Gosr2;Mtrex;Cnot4;Dcp2;Eif4ebp1;Calr;Hspa9;Arfgap1;Eif4a1;Atf6;Dcp1a;Kdelr3"
