"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL2_STAT5_SIGNALING",6.60756227301449e-37,3.30378113650724e-35,1.5829282179456,-0.684822328308866,-3.38087225420383,195,"Il2ra;Rgs16;Tnfrsf9;Fgl2;Itgav;Bhlhe40;Cd44;Hopx;Irf8;Tnfrsf4;Furin;Bcl2l1;Il1rl1;Il10;Il13;Plscr1;Car2;Csf2;Eomes;Il2rb;Cish;Tnfsf11;Rabgap1l;Ttc39b;Rora;Dhrs3;Ptger2;Il1r2;Odc1;Gpr65;Itgae;Myo1e;Swap70;Tnfrsf18;Casp3;Syngr2;Cst7;Mapkapk2;Icos;Ikzf2;Hk2;Phlda1;Socs2;Tnfrsf1b;Ahnak;Gadd45b;Nfil3;Ccr4;Cyfip1;Adam19;Gsto1;Snx9;Tnfrsf8;Ctsz;Serpinb6a;Ctla4;Myo1c;Cd48;Tnfsf10;Il18r1;Il10ra;Penk;Capg;Bmpr2;Rnh1;Nt5e;Ltb;Lif;Flt3l;Anxa4;Alcam;Wls;Cxcl10;Ndrg1;Ifitm3;Ikzf4;Traf1;Ccnd2;Csf1;Dennd5a;Ahr;Plin2;St3gal4;Ccnd3;Tgm2;Cd79b;Slc2a3;Cd86;Il3ra;Cd83;Map3k8;Slc1a5;Eef1akmt1;Abcb1a;Emp1;Batf3;Lrrc8c;Cd81;Ifngr1;Pus1;Irf4;Enpp1;Gbp3;Galm;Praf2;Pim1"
"HALLMARK_ALLOGRAFT_REJECTION",1.47490761908595e-33,3.68726904771488e-32,1.50926283727233,-0.679838905850342,-3.3234961543776,187,"Gzma;Ccr5;Il2ra;Gzmb;Ccl5;Cd74;Irf8;Thy1;Il10;Il13;Ncr1;Ccr2;Il18rap;Il12rb1;Il2rb;Hcls1;Ctss;H2-Aa;Prf1;Tgfb1;Jak2;Ifng;Il2rg;Gpr65;Itgal;Itgb2;Fasl;Zap70;Lcp2;Cd80;Srgn;Cd3g;Cd7;Icam1;Cxcr3;Ccl4;Cd8a;Ncf4;Ptpn6;Gcnt1;Fcgr2b;St8sia4;Akt1;Spi1;Brca1;Galnt1;Tlr2;Lyn;Crtam;Cd3e;B2m;Capg;F2r;Cd47;Icosl;Il1b;Il2;Hif1a;Tnf;Stat4;Lck;Map4k1;Tapbp;Ltb;Lif;Nlrp3;Eif3d;Nme1;Degs1;Ccnd2;Glmn;Csf1;Ly86;H2-Q7;Fgr;Tap2;Ccr1;Cd40;Klrd1;Ccnd3;Traf2;Ccl2;Stat1;Psmb10;Eif5a;Cd86;H2-M3;Was;Dars;Tap1;Igsf6;Csk;Bcat1;Aars;Cdkn2a;Irf7;Ifngr1;Irf4;H2-T23"
"HALLMARK_E2F_TARGETS",7.67435368051627e-29,1.27905894675271e-27,1.39518713415833,-0.645759693348003,-3.18275758580419,197,"Lmnb1;Top2a;Mki67;Cdca3;Ccnb2;Stmn1;Tacc3;Dnmt1;Rrm2;Ncapd2;Dlgap5;Cdkn2c;Hells;Tcf19;Cdk1;Lig1;Pole;Tmpo;Birc5;Hmmr;Prdx4;Cks1b;Gins1;Dut;Cdca8;Spc24;Bub1b;Depdc1a;Tk1;Mcm3;Tubb5;Rfc2;Cks2;Tipin;H2ax;H2az1;Spag5;Diaph3;Ssrp1;Wdr90;Brca1;Rbbp7;Mcm2;Cdkn1a;Ezh2;Mcm6;Melk;Mms22l;Plk1;Kif2c;Bard1;Kif18b;Mcm5;Racgap1;Cdc20;Lyar;Rpa2;Wee1;Ak2;Cenpe;Timeless;Cenpm;Dek;Nme1;Cdkn3;Dscc1;Naa38;Mcm7;Ddx39a;Gins4;Chek2;Chek1;Plk4;Pold1;Kif22;Gins3;Hmgb3;Mthfd2;Espl1;Brca2;Tubg1;Cbx5;Prim2;Rpa3;Usp1;Spc25;Trp53;Ung;Exosc8;Cnot9;Cit;Cdkn2a;Mxd3;Hnrnpd;Pa2g4;Pold3;Phf5a;Dctpp1;Jpt1;Pold2;Paics;Rad50;E2f8;Ppp1r8;Cdk4;Nudt21;Mad2l1;Ranbp1;Ube2s;Nup205;Pcna;Rfc3;Aurkb;Anp32e;Lbr;Syncrip;Ube2t;Eif2s1;Trip13"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.22479454335127e-27,2.78099317918908e-26,1.3575740855908,-0.635853424932841,-3.13911961282657,195,"Gzma;Xcl1;Ccl5;Cd74;Fgl2;Irf8;Ly6e;Vamp8;Plscr1;Ifitm2;Il2rb;Nfkb1;Psmb8;H2-Eb1;H2-Aa;Slamf7;Isg20;Jak2;Klrk1;Psmb9;Irf5;Casp3;Lcp2;Casp1;Nfkbia;Casp7;Icam1;Sri;Epsti1;Oas3;Ptpn6;Lgals3bp;Ifi30;Casp4;St8sia4;Ptpn1;Tnfsf10;Il15ra;Pfkp;Xaf1;Il10ra;Cdkn1a;B2m;Ptgs2;Hif1a;Stat3;Ube2l6;Stat4;Cd38;Cmpk2;Bst2;Tapbp;Ciita;Cxcl10;Ifitm3;Dhx58;Herc6;H2-Q7;Psma2;Cd40;Trafd1;Parp12;Psme1;Psmb2;Mthfd2;Ccl2;Ifih1;H2-D1;Usp18;Ifit2;Parp14;Stat1;Psmb10;Cd86;Ifit3;H2-M3;Nup93;Ifi27;Tap1;Nmi;Zbp1;Rsad2;Trim14;Rnf31;Isg15;Ptpn2;Rnf213;Cmklr1;Cmtr1;Irf7;Eif2ak2;Irf4;Gbp3;Tor1b;Pim1;Tnfaip2;Csf2rb2;Ifi35;Cd274;Rtp4;Ifnar2;Nampt;Samd9l;Cd69;Lysmd2;Tdrd7;H2-DMa;Ripk2;Pml;Nlrc5;Ifit1bl1;Mt2"
"HALLMARK_G2M_CHECKPOINT",2.32391631472274e-21,2.32391631472274e-20,1.19534448258848,-0.59852450426328,-2.94821499307059,193,"Lmnb1;Top2a;Mki67;Nusap1;Ccnb2;Ube2c;Stmn1;Tacc3;Tgfb1;Ccna2;Odc1;Kif11;Tpx2;Cdkn2c;Cdk1;Pole;Tmpo;Birc5;Hmmr;Cks1b;Smc2;Nek2;Incenp;H2az2;Rad54l;Tfdp1;Cenpf;Mcm3;Cks2;H2ax;H2az1;Kif23;Nsd2;Notch2;Prc1;Kif15;Knl1;Mcm2;Ezh2;Mcm6;Chaf1a;Plk1;Kif2c;Bard1;Slc38a1;Mcm5;Hif1a;Bub1;Racgap1;Cdc20;Snrpd1;Rpa2;Pbk;Dtymk;Rad23b;Cenpe;Slc7a1;Fbxo5;Cdkn3;Smad3;Ddx39a;Cbx1;Marcks;Kif20b;Chek1;Plk4;Kif22;Hmgb3;E2f4;Cdc45;Espl1;Brca2;Troap;Stil;Smarcc1;Prim2;Cdc27;Sap30;Ndc80"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.13016912900603e-18,9.41807607505026e-18,1.11466447751729,-0.57003741328971,-2.81465570724103,194,"Id2;Tnfrsf9;Ccl5;Bhlhe40;Cd44;Areg;Vegfa;Plek;Csf2;Nr4a2;Dusp4;Rel;Nfkb1;Map2k3;Ptger4;Atf3;Nfkb2;B4galt5;Ccrl2;Gem;Cd80;Tank;Phlda1;Nfkbia;Cxcl2;Gadd45b;Nfkbie;Nfil3;Icam1;Ccl4;Slc2a6;Litaf;Relb;Il15ra;Tlr2;Cdkn1a;Ptgs2;Icosl;Il1b;Il1a;Ehd1;Tnf;Nr4a3;Lif;Ier3;Cxcl10;Tnfaip8;Plau;Pfkfb3;Slc16a6;Smad3;Traf1;Marcks;Rnf19b;Sgk1;Csf1;Dennd5a;Serpine1;Ccl2;Ifih1;Sqstm1;Ifit2;Slc2a3;Egr1;Cd83;Hes1;Map3k8;Ninj1;Klf10;Tap1;Atp2b1;Nfat5;Dusp2;Panx1;Dusp1;Egr3;Cebpb;Cebpd;Klf4;Tnfaip2;Fosb;Fosl2;Tnip1;B4galt1;Mxd1;Abca1;Nampt;Dusp5"
"HALLMARK_MTORC1_SIGNALING",1.96111989861129e-17,1.40079992757949e-16,1.07686819261983,-0.567721734519744,-2.79145514591315,192,"Fgl2;Bhlhe40;Glrx;Niban1;Map2k3;Ero1a;M6pr;Ddit4;Rrm2;Sla;Psma4;Itgb2;Hk2;Rpn1;Sdf2l1;Hsp90b1;Nfil3;Sytl2;Hprt;Dhfr;Asns;Ifi30;Nfkbib;Pgk1;Eprs;Got1;Actr2;Txnrd1;Mcm2;Cdkn1a;Ctsc;Plk1;Stard4;Psat1;Bub1;Aldoa;Skap2;Pdap1;Psmd14;Coro1a;Ifrd1;Ldha;Ssr1;Lta4h;Acly;Ddx39a;Actr3;Calr;Ccng1;Canx;Tcea1;Egln3;Mthfd2;Psph;Sqstm1;Slc2a3;Tubg1;Shmt2;Lgmn;Ppia;Hmgcr;Slc1a5;Ebp;Gsr;Ung;Bcat1;Phgdh;Ykt6;Tmem97;Fkbp2;Ppa1;Ddit3;Arpc5l;Psmc2;Hspa5;Gpi1;Psmb5;Psmd12;Nampt;Sc5d;Cops5;Psmg1;Cd9;Dhcr24;Cfp;Gga2;Psmd13;Cyb5b;Ldlr;Nup205;Pitpnb;Edem1;Nmt1;Adipor2;Dhcr7;Fdxr;Gmps;Stip1;Slc7a5;Acaca;Hmbs;Eef1e1;Wars1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.94992544737592e-17,2.86745094390181e-16,1.06720998682811,-0.560855849258229,-2.73740813786882,185,"Ndufb7;Casp7;Ech1;Hccs;Cox5a;Ndufa8;Ndufa3;Atp5j2;Etfa;Timm13;Etfb;Atp5j;Htra2;Atp5k;Atp5e;Sdhb;Cox17;Mdh1;Ndufs8;Ldha;Idh3a;Ndufb8;Atp6v0e;Cox5b;Sdhd;Cox6b1;Ndufc2;Fdx1;Eci1;Tcirg1;Cox7b;Polr2f;Atp5pb;Cox7c;Atp6v1f;Ndufc1;Atp5l;Ndufa1;Ndufb1;Bax;Sdhc;Timm50;Ndufa4;Phb2;Vdac3;Atp6v0c;Cox15;Atp5d;Mtx2;Hsd17b10;Prdx3;Uqcrc1;Ndufb6;Nqo2;Atp5b;Pdha1;Acaa2;Fh1;Hadha;Ndufab1;Got2;Decr1;Ndufa7;Idh3g;Cox8a;Timm17a;Gpi1;Ndufb5;Glud1;Etfdh;Atp6v1g1;Ndufv2;Afg3l2;Nnt;Ndufs3;Timm10;Pdp1;Slc25a5;Ndufa2;Cox7a2;Uqcrb;Ndufa6;Tomm22;Idh3b;Supv3l1;Sdha;Atp5g3;Slc25a11;Ndufb2;Mtrr;Acat1;Acadvl;Atp6v1c1"
"HALLMARK_MYC_TARGETS_V1",5.16141169902325e-17,2.86745094390181e-16,1.06720998682811,-0.564229721625314,-2.75151772422328,183,"Ccna2;Odc1;Psma4;Prdx4;Rrm1;Dut;Hprt;Tfdp1;Cox5a;H2az1;Pgk1;Eprs;Mcm2;Mcm6;Hnrnpa1;Ube2l3;Mcm5;Cad;Cdc20;Psmd14;Ruvbl2;Snrpd1;Lsm7;Ifrd1;Rad23b;Ldha;Dek;Eif3d;Nme1;Nhp2;Snrpd2;Mcm7;Acp1;Psma6;Uba2;Psma2;Canx;Psmd8;Psmb2;Hdgf;Cdc45;Serbp1;Tyms;Tufm;Snrpa;Kars;Pcbp1;Smarcc1;Snrpb2;Cdk2;Ppia;Snrpd3;Ppm1g;Usp1;Cbx3;Phb2;Vdac3;Psma1;Iars;Hnrnpd;Prdx3;Pa2g4;Eif4e;Hddc2;Sf3a1;Srm;Psma7;Ndufab1;Pold2;Ywhaq;Got2;Ssbp1;Exosc7;Eif1ax;Cstf2;Pabpc4;Xpot;Ssb;Cdk4;Cops5;Pwp1;Mad2l1;Ranbp1;Set;Ncbp2;G3bp1;Pcna;Kpnb1;Aimp2;Syncrip;Eif2s1;Psmb3;Myc;Cct4;Psmd1;Bub3;Lsm2;Psmc4;Ube2e1;Ywhae"
"HALLMARK_INFLAMMATORY_RESPONSE",4.32564034947628e-13,2.16282017473814e-12,0.932595211336209,-0.518857253712461,-2.5518981677215,189,"Cxcr6;Rgs16;Tnfrsf9;Ccl5;Rgs1;Cd82;Ly6e;Il10;Il18rap;Il2rb;Nfkb1;Ptger4;Ifitm1;Ptger2;Ccrl2;Gna15;Lcp2;Nfkbia;Tnfrsf1b;Sema4d;Icam1;Sri;Irak2;Axl;Cd48;Tnfsf10;Il15ra;Il18r1;Tlr2;Adgre1;Lyn;Il10ra;Cdkn1a;Icosl;Il1b;C3ar1;Il1a;Hif1a;Lck;Bst2;Tapbp;Lif;Kcna3;Nlrp3;Cxcl10;Slc7a1;Cd14;Cd70;Csf1;Fzd5;Ahr;Lta;Cd40;Serpine1;Ccl2;Emp3;Ptafr;Il1r1;Ptgir;Osm;Nmi;Atp2b1;Cybb;Cmklr1;Irf7;Eif2ak2;Slamf1;Itga5"
"HALLMARK_GLYCOLYSIS",4.21907209241496e-12,1.9177600420068e-11,0.887074988399873,-0.503996437127725,-2.45754386618356,184,"Txn1;Cd44;Vegfa;Glrx;Chst12;Stmn1;Ero1a;Ddit4;Isg20;Cdk1;Mxi1;Hmmr;Hk2;Depdc1a;Slc16a3;Qsox1;Pgk1;Taldo1;Kif20a;Pfkp;Tgfbi;Got1;Ndufv3;Gpc1;Galk1;Pkm;Aldoa;Gale;Nt5e;Akr1a1;Mdh1;Ier3;Ldha;Gusb;Phka2;Srd5a3;Sdc3;Polr3k;Egln3;Sdhc;Ppia;Slc25a10;Sap30;Galk2;Bpnt1;Nsdhl;Pgls;Hax1;Gne;Sod1;Hspa5;Got2;Mertk;B4galt1;Gmppa;Copb2;Fam162a;Rpe;Paxip1;Gmppb;Il13ra1;Bik;Slc25a13;Stc2;Hs2st1;Ugp2;Spag4;Chpf2;Tpi1;Plod2;Ak3;Pgam1;Fut8;Psmc4"
"HALLMARK_COMPLEMENT",6.66172730736444e-11,2.77571971140185e-10,0.839088935621274,-0.493813178490647,-2.40310001981019,181,"Gzma;Gzmb;Ccl5;Plek;Gzmk;Gng2;Plscr1;Car2;Fcer1g;Ctss;Jak2;Psmb9;Casp3;C1qa;Lcp2;S100a13;Lgals3;Casp1;Cxcl2;Casp7;Casp4;Msrb1;Pfn1;Ctsb;Lyn;Itgam;Ctsc;Adam9;Ehd1;Gata3;Lck;Ctsd;Lta4h;Ctsh;Xpnpep1;Calm1;Grb2;Pdgfb;Fdx1;Serpine1;Prkcd;Lgmn;Was;Anxa5;Pik3cg;Gnai2;Irf7;Lrp1;Cebpb;Ppp4c;Fyn;Calm3;Pim1;Gnb4;Hspa5;Timp2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.33131074523636e-10,5.12042594321679e-10,0.826657301178302,-0.588596340880011,-2.57915493653725,96,"Cd74;Ly6e;Plscr1;Ifitm2;Psmb8;Ifitm1;Isg20;Psmb9;Ccrl2;Casp1;Epsti1;Lgals3bp;Ifi30;B2m;Cd47;Oas1a;Ube2l6;Mvb12a;Cmpk2;Bst2;Cxcl10;Ifitm3;Dhx58;Herc6;Csf1;H2-Q7;Trafd1;Parp12;Psme1;Parp9;Ifih1;Usp18;Ifit2;Parp14;Ifit3;Ifi27;Tap1;Nmi;Rsad2;Trim14;Rnf31;Isg15;Tmem140;Cmtr1;Irf7;Eif2ak2;Gbp3;Ifi35;Rtp4;Mov10"
"HALLMARK_P53_PATHWAY",1.37749804120788e-09,4.91963586145671e-09,0.788186810800237,-0.471126659986634,-2.29726709983126,184,"S100a4;S100a10;Rgs16;Cd82;Vamp8;Mapkapk3;Tgfb1;Ddit4;Atf3;Gm2a;Apaf1;Casp1;Irag2;Kif13b;Zbtb16;Bak1;Ifi30;Perp;Osgin1;Coq8a;St14;Cdkn1a;Mxd4;F2r;Hmox1;Plk3;Il1a;Vdr;Zfp36l1;Lif;Ctsd;Ier3;Aen;Ndrg1;Ccnd2;Rnf19b;Ccng1;Slc3a2;Trafd1;Ccnd3;Fuca1;Slc19a2;Ralgds;Bax;Ninj1;Plxnb2;Tap1;Trp53;Polh;Rhbdf2;Dcxr;Cdkn2a;Tax1bp3;Tm7sf3;Blcap;Tcn2;Cd81;Ddit3;Klf4;Ephx1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.0545034815145e-08,3.51501160504833e-08,0.747739663149885,-0.562394253180732,-2.39311996504669,83,"Il2ra;Cd44;Il17rb;Csf2;Il12rb1;Tgfb1;Il1r2;Il2rg;Cxcl2;Tnfrsf1b;Bak1;Ptpn1;Il15ra;Il18r1;Tlr2;Il10rb;Il1b;Hmox1;Il9r;Stat3;Tnf;Cd38;Tyk2;Ltb;Cxcl10;Cd14;Grb2;Csf1;Ccr1;Il1r1;Stat1;Il3ra;Map3k8;Ptpn2;Ifngr1;Hax1;Pim1;Csf2rb2;Csf3r;Crlf2;Itgb3;Tnfrsf1a;Cd9;Il13ra1;Myd88;Cxcl9;Tnfrsf21;Ccl7;Ptpn11;Csf2ra;Ebi3;Il6"
"HALLMARK_KRAS_SIGNALING_UP",4.29849914372376e-08,1.34328098241368e-07,0.719512826338911,-0.444636566810145,-2.15365784993563,176,"Id2;Lcp1;Rgs16;Irf8;Glrx;Car2;Csf2;Fcer1g;Laptm5;Psmb8;Ctss;Rabgap1l;Ero1a;Tmem176a;Itga2;Il2rg;Spry2;Mmd;Adam8;Itgb2;Prdm1;Galnt3;Tnfrsf1b;Lat2;Crot;Tmem176b;Il10ra;Ptgs2;Cd37;Il1b;C3ar1;Mafb;Map4k1;Lif;Cxcl10;Plau;Traf1;Ccnd2;Ammecr1;Fuca1;Hsd11b1;Fbxo4;Abcb1a;Emp1;Gpnmb;Cbr4;Adam17;Cmklr1"
"HALLMARK_MITOTIC_SPINDLE",1.77736130682814e-07,5.22753325537688e-07,0.690132458796796,-0.436786287499056,-2.14765307679292,192,"Lmnb1;Top2a;Nusap1;Ccnb2;Kif11;Tpx2;Dlgap5;Myo1e;Cdk1;Capzb;Birc5;Septin9;Ect2;Nek2;Nedd9;Incenp;Cdc42;Cenpf;Kif23;Notch2;Prc1;Gsn;Kif15;Katnb1;Rhof;Ckap5;Plk1;Alms1;Kif2c;Prex1;Bub1;Racgap1;Cenpe;Fbxo5;Marcks;Kif20b;Kif22;Espl1;Arf6;Anln;Brca2;Abr;Cdc27;Farp1;Mid1ip1;Cntrob;Ndc80;Pxn;Fscn1;Arhgef2;Flnb;Pif1;Sass6;Epb41l2;Tubgcp2;Arl8a;Tubgcp6;Uxt;Hook3;Kntc1;Cntrl;Vcl"
"HALLMARK_APOPTOSIS",7.69345634438831e-07,2.13707120677453e-06,0.659444398037935,-0.449429260841308,-2.12585223920555,150,"Top2a;Cd44;Bcl2l1;Prf1;Isg20;Atf3;Casp3;Fasl;Gna15;Lgals3;Casp1;Gadd45b;Nedd9;Casp7;Dap;Pmaip1;Lmna;Casp4;Gsn;Tnfsf10;Brca1;Cdkn1a;F2r;Il1b;Hmox1;Il1a;Tnf;Cd38;Wee1;Ier3;Ifitm3;Cd14;Tspo;Ccnd2;Anxa1;Psen2;Sqstm1;Ppt1;Dap3;Cdk2;Bax;Tap1;Ebp;Emp1;Gsr;H1f0;Rara;Bcap31;Dffa;Egr3;Ifngr1;Ddit3;Sod1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",9.33499286355632e-07,2.45657706935693e-06,0.659444398037935,-0.417501004837993,-2.0222230548332,176,"Id2;Top2a;Cd44;Areg;Plaat3;Cdh1;Car2;Il17rb;Cish;Isg20;Jak2;Hprt;Pkp3;Ptpn6;Fkbp5;Impa2;Tff1;Perp;Kcnk5;Kif20a;St14;Dnajc1;Etfb;Fdft1;Sult2b1;Cdc20;Gale;Slc26a2;Sgk1;Plk4;Rbbp8;Atp2b4;Tmprss3;Bag1;Ugdh;Stil;Farp1;Nab2;Dusp2;Fabp5;Dcxr;Flnb;Nrip1;Egr3;Ass1"
